,row1,row2
1980-01-01,NA,NA
1980-01-02,NA,NA
1980-01-03,NA,NA
1980-01-04,NA,NA
1980-01-05,NA,NA
1980-01-06,NA,NA
1980-01-07,NA,NA
1980-01-08,NA,NA
1980-01-09,NA,NA
1980-01-10,NA,NA
1980-01-11,NA,NA
1980-01-12,NA,NA
1980-01-13,NA,NA
1980-01-14,NA,NA
1980-01-15,NA,NA
1980-01-16,NA,NA
1980-01-17,NA,NA
1980-01-18,NA,NA
1980-01-19,NA,NA
1980-01-20,NA,NA
1980-01-21,NA,NA
1980-01-22,NA,NA
1980-01-23,NA,NA
1980-01-24,NA,NA
1980-01-25,NA,NA
1980-01-26,NA,NA
1980-01-27,NA,NA
1980-01-28,NA,NA
1980-01-29,NA,NA
1980-01-30,NA,NA
1980-01-31,NA,NA
1980-02-01,NA,NA
1980-02-02,NA,NA
1980-02-03,NA,NA
1980-02-04,NA,NA
1980-02-05,NA,NA
1980-02-06,NA,NA
1980-02-07,NA,NA
1980-02-08,NA,NA
1980-02-09,NA,NA
1980-02-10,NA,NA
1980-02-11,NA,NA
1980-02-12,NA,NA
1980-02-13,NA,NA
1980-02-14,NA,NA
1980-02-15,NA,NA
1980-02-16,NA,NA
1980-02-17,NA,NA
1980-02-18,NA,NA
1980-02-19,NA,NA
1980-02-20,NA,NA
1980-02-21,NA,NA
1980-02-22,NA,NA
1980-02-23,NA,NA
1980-02-24,NA,NA
1980-02-25,NA,NA
1980-02-26,NA,NA
1980-02-27,NA,NA
1980-02-28,NA,NA
1980-02-29,NA,NA
1980-03-01,NA,NA
1980-03-02,NA,NA
1980-03-03,NA,NA
1980-03-04,NA,NA
1980-03-05,NA,NA
1980-03-06,NA,NA
1980-03-07,NA,NA
1980-03-08,NA,NA
1980-03-09,NA,NA
1980-03-10,NA,NA
1980-03-11,NA,NA
1980-03-12,NA,NA
1980-03-13,NA,NA
1980-03-14,NA,NA
1980-03-15,NA,NA
1980-03-16,NA,NA
1980-03-17,NA,NA
1980-03-18,NA,NA
1980-03-19,NA,NA
1980-03-20,NA,NA
1980-03-21,NA,NA
1980-03-22,NA,NA
1980-03-23,NA,NA
1980-03-24,NA,NA
1980-03-25,NA,NA
1980-03-26,NA,NA
1980-03-27,NA,NA
1980-03-28,NA,NA
1980-03-29,NA,NA
1980-03-30,NA,NA
1980-03-31,NA,NA
1980-04-01,NA,NA
1980-04-02,NA,NA
1980-04-03,NA,NA
1980-04-04,NA,NA
1980-04-05,NA,NA
1980-04-06,NA,NA
1980-04-07,NA,NA
1980-04-08,NA,NA
1980-04-09,NA,NA
1980-04-10,NA,NA
1980-04-11,NA,NA
1980-04-12,NA,NA
1980-04-13,NA,NA
1980-04-14,NA,NA
1980-04-15,NA,NA
1980-04-16,NA,NA
1980-04-17,NA,NA
1980-04-18,NA,NA
1980-04-19,NA,NA
1980-04-20,NA,NA
1980-04-21,NA,NA
1980-04-22,NA,NA
1980-04-23,NA,NA
1980-04-24,NA,NA
1980-04-25,NA,NA
1980-04-26,NA,NA
1980-04-27,NA,NA
1980-04-28,NA,NA
1980-04-29,NA,NA
1980-04-30,NA,NA
1980-05-01,NA,NA
1980-05-02,NA,NA
1980-05-03,NA,NA
1980-05-04,NA,NA
1980-05-05,NA,NA
1980-05-06,NA,NA
1980-05-07,NA,NA
1980-05-08,NA,NA
1980-05-09,NA,NA
1980-05-10,NA,NA
1980-05-11,NA,NA
1980-05-12,NA,NA
1980-05-13,NA,NA
1980-05-14,NA,NA
1980-05-15,NA,NA
1980-05-16,NA,NA
1980-05-17,NA,NA
1980-05-18,NA,NA
1980-05-19,NA,NA
1980-05-20,NA,NA
1980-05-21,NA,NA
1980-05-22,NA,NA
1980-05-23,NA,NA
1980-05-24,NA,NA
1980-05-25,NA,NA
1980-05-26,NA,NA
1980-05-27,NA,NA
1980-05-28,NA,NA
1980-05-29,NA,NA
1980-05-30,NA,NA
1980-05-31,NA,NA
1980-06-01,NA,NA
1980-06-02,NA,NA
1980-06-03,NA,NA
1980-06-04,NA,NA
1980-06-05,NA,NA
1980-06-06,NA,NA
1980-06-07,NA,NA
1980-06-08,NA,NA
1980-06-09,NA,NA
1980-06-10,NA,NA
1980-06-11,NA,NA
1980-06-12,NA,NA
1980-06-13,NA,NA
1980-06-14,NA,NA
1980-06-15,NA,NA
1980-06-16,NA,NA
1980-06-17,NA,NA
1980-06-18,NA,NA
1980-06-19,NA,NA
1980-06-20,NA,NA
1980-06-21,NA,NA
1980-06-22,NA,NA
1980-06-23,NA,NA
1980-06-24,NA,NA
1980-06-25,NA,NA
1980-06-26,NA,NA
1980-06-27,NA,NA
1980-06-28,NA,NA
1980-06-29,NA,NA
1980-06-30,NA,NA
1980-07-01,NA,NA
1980-07-02,NA,NA
1980-07-03,NA,NA
1980-07-04,25.85,Sell
1980-07-05,NA,NA
